gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,conm,curcd,act,ao,at,ceq,dltt,intan,ivaeq,ivao,lct,lo,lt,mibn,ppent,pstk,revt,teq,txditc,costat,plot_act,plot_ppent,plot_ivaeq,plot_ivao,plot_intan,plot_ao,plot_lct,plot_txditc,plot_lo,plot_dltt,plot_ceq,plot_pstk,plot_mibn
1690,9/30/2010,2010,INDL,C,D,STD,AAPL,APPLE INC,USD,41678,2263,75183,47791,0,1083,0,25391,20722,2370,27392,0,4768,0,65225,47791,4300,A,0.554354043,0.063418592,0,0.337722623,0.014404852,0.03009989,0.275620819,0.057193781,0.031523084,0,0.635662317,0,0
1690,9/30/2011,2011,INDL,C,D,STD,AAPL,APPLE INC,USD,44988,3556,116371,76615,0,4432,0,55618,27970,3627,39756,0,7777,0,108249,76615,8159,A,0.386591161,0.066829365,0,0.477936943,0.03808509,0.030557441,0.240351978,0.070111969,0.031167559,0,0.658368494,0,0
1690,9/30/2012,2012,INDL,C,D,STD,AAPL,APPLE INC,USD,57653,5478,176064,118210,0,5359,0,92122,38542,5465,57854,0,15452,0,156508,118210,13847,A,0.327454789,0.087763541,0,0.523230189,0.030437795,0.031113686,0.218909033,0.078647537,0.031039849,0,0.671403581,0,0
1690,9/30/2013,2013,INDL,C,D,STD,AAPL,APPLE INC,USD,73286,5146,207000,123549,16960,5756,0,106215,43658,6344,83451,0,16597,0,170910,123549,16489,A,0.354038647,0.080178744,0,0.513115942,0.027806763,0.024859903,0.210908213,0.079657005,0.030647343,0.081932367,0.596855072,0,0
1690,9/30/2014,2014,INDL,C,D,STD,AAPL,APPLE INC,USD,68531,3764,231839,111547,28987,8758,0,130162,63448,7598,120292,0,20624,0,182795,111547,20259,A,0.295597376,0.088958286,0,0.561432718,0.037776215,0.016235405,0.273672678,0.087383917,0.032772743,0.125030733,0.481139929,0,0
1690,9/30/2015,2015,INDL,C,D,STD,AAPL,APPLE INC,USD,89378,5556,290479,119355,53463,9009,0,164065,80610,12989,171124,0,22471,0,233715,119355,24062,A,0.307691778,0.077358432,0,0.564808472,0.03101429,0.019127028,0.277507152,0.082835592,0.044715797,0.184051171,0.410890288,0,0
1690,9/30/2016,2016,INDL,C,D,STD,AAPL,APPLE INC,USD,106869,8757,321686,128249,75427,8620,0,170430,79006,12985,193437,0,27010,0,215091,128249,26019,A,0.332215266,0.083963865,0,0.529802354,0.026796317,0.027222198,0.245599746,0.080883222,0.04036545,0.23447399,0.398677592,0,0
1690,9/30/2017,2017,INDL,C,D,STD,AAPL,APPLE INC,USD,128645,10162,375319,134047,97207,8015,0,194714,100814,11747,241272,0,33783,0,229234,134047,31504,A,0.342761757,0.09001143,0,0.518796011,0.021355167,0.027075634,0.268608837,0.083939262,0.031298709,0.258998345,0.357154847,0,0
1690,9/30/2018,2018,INDL,C,D,STD,AAPL,APPLE INC,USD,131339,22283,365725,107147,93735,0,0,170799,116866,47551,258578,0,41304,0,265359,107147,426,A,0.359119557,0.112937316,0,0.467014834,0,0.060928293,0.319546107,0.00116481,0.130018456,0.256299132,0.292971495,0,0
1690,9/30/2019,2019,INDL,C,D,STD,AAPL,APPLE INC,USD,162819,32978,338516,90488,91807,0,0,105341,105718,44303,248028,0,37378,0,260174,90488,6200,A,0.480978743,0.110417233,0,0.3111847,0,0.097419324,0.312298385,0.018315235,0.130874168,0.271204315,0.267307897,0,0
